Author,Title,Year
Charles Dickens,The Pickwick Papers,1836
Charles Dickens,Oliver Twist,1837
Charles Dickens,Nicholas Nickleby,1839
Charles Dickens,The Old Curiosity Shop,1841
Charles Dickens,Barnaby Rudge,1841
Charles Dickens,Martin Chuzzlewit,1844
Charles Dickens,Dombey and Son,1848
Charles Dickens,David Copperfield,1850
Charles Dickens,Bleak House,1853
Charles Dickens,Hard Times,1854
Charles Dickens,Little Dorrit,1857
Charles Dickens,A Tale of Two Cities,1859
Charles Dickens,Great Expectations,1861
Charles Dickens,Our Mutual Friend,1865
Jane Austen,Sense and Sensibility,1811
Jane Austen,Pride and Prejudice,1813
Jane Austen,Mansfield Park,1814
Jane Austen,Emma,1815
Jane Austen,Northanger Abbey,1817
Jane Austen,Persuasion,1817
Leo Tolstoy,The Cossacks,1863
Leo Tolstoy,War and Peace,1869
Leo Tolstoy,Anna Karenina,1877
Leo Tolstoy,Resurrection,1899
Fyodor Dostoevsky,Poor Folk,1846
Fyodor Dostoevsky,The Insulted and Humiliated,1861
Fyodor Dostoevsky,Notes from Underground,1864
Fyodor Dostoevsky,Crime and Punishment,1866
Fyodor Dostoevsky,The Idiot,1869
Fyodor Dostoevsky,Demons,1872
Fyodor Dostoevsky,The Adolescent,1875
Fyodor Dostoevsky,The Brothers Karamazov,1880
Mark Twain,The Gilded Age,1873
Mark Twain,The Adventures of Tom Sawyer,1876
Mark Twain,The Prince and the Pauper,1881
Mark Twain,Adventures of Huckleberry Finn,1884
Mark Twain,A Connecticut Yankee in King Arthur's Court,1889
Mark Twain,The American Claimant,1892
Mark Twain,The Tragedy of Pudd'nhead Wilson,1894
Mark Twain,Personal Recollections of Joan of Arc,1896
George Orwell,Burmese Days,1934
George Orwell,A Clergyman's Daughter,1935
George Orwell,Keep the Aspidistra Flying,1936
George Orwell,Coming Up for Air,1939
George Orwell,Animal Farm,1945
George Orwell,Nineteen Eighty-Four,1949
Ernest Hemingway,The Sun Also Rises,1926
Ernest Hemingway,A Farewell to Arms,1929
Ernest Hemingway,To Have and Have Not,1937
Ernest Hemingway,For Whom the Bell Tolls,1940
Ernest Hemingway,Across the River and Into the Trees,1950
Ernest Hemingway,The Old Man and the Sea,1952
Ernest Hemingway,Islands in the Stream,1970
J. R. R. Tolkien,The Hobbit,1937
J. R. R. Tolkien,The Fellowship of the Ring,1954
