AtomicNumber,Symbol,Name,Category,PhysicalState,NaturallyOccurring,DiscoveryYear,DiscoveryEra,NamedAfterPerson,NamedAfterPlace,SymbolLength,DiatomicInNature
1,H,Hydrogen,Nonmetal,Gas,Yes,1766,1700s-1800s,No,No,1,Yes
2,He,Helium,Noble Gas,Gas,Yes,1868,1700s-1800s,No,No,2,No
3,Li,Lithium,Alkali Metal,Solid,Yes,1817,1700s-1800s,No,No,2,No
4,Be,Beryllium,Alkaline Earth Metal,Solid,Yes,1798,1700s-1800s,No,No,2,No
5,B,Boron,Metalloid,Solid,Yes,1808,1700s-1800s,No,No,1,No
6,C,Carbon,Nonmetal,Solid,Yes,-3750,Ancient,No,No,1,No
7,N,Nitrogen,Nonmetal,Gas,Yes,1772,1700s-1800s,No,No,1,Yes
8,O,Oxygen,Nonmetal,Gas,Yes,1774,1700s-1800s,No,No,1,Yes
9,F,Fluorine,Halogen,Gas,Yes,1886,1700s-1800s,No,No,1,Yes
10,Ne,Neon,Noble Gas,Gas,Yes,1898,1700s-1800s,No,No,2,No
11,Na,Sodium,Alkali Metal,Solid,Yes,1807,1700s-1800s,No,No,2,No
12,Mg,Magnesium,Alkaline Earth Metal,Solid,Yes,1755,1700s-1800s,No,Yes,2,No
13,Al,Aluminium,Post-Transition Metal,Solid,Yes,1825,1700s-1800s,No,No,2,No
14,Si,Silicon,Metalloid,Solid,Yes,1824,1700s-1800s,No,No,2,No
15,P,Phosphorus,Nonmetal,Solid,Yes,1669,Ancient,No,No,1,No
16,S,Sulfur,Nonmetal,Solid,Yes,-2000,Ancient,No,No,1,No
17,Cl,Chlorine,Halogen,Gas,Yes,1774,1700s-1800s,No,No,2,Yes
18,Ar,Argon,Noble Gas,Gas,Yes,1894,1700s-1800s,No,No,2,No
19,K,Potassium,Alkali Metal,Solid,Yes,1807,1700s-1800s,No,No,1,No
20,Ca,Calcium,Alkaline Earth Metal,Solid,Yes,1808,1700s-1800s,No,No,2,No
21,Sc,Scandium,Transition Metal,Solid,Yes,1879,1700s-1800s,No,Yes,2,No
22,Ti,Titanium,Transition Metal,Solid,Yes,1791,1700s-1800s,No,No,2,No
23,V,Vanadium,Transition Metal,Solid,Yes,1801,1700s-1800s,No,No,1,No
24,Cr,Chromium,Transition Metal,Solid,Yes,1797,1700s-1800s,No,No,2,No
25,Mn,Manganese,Transition Metal,Solid,Yes,1774,1700s-1800s,No,Yes,2,No
26,Fe,Iron,Transition Metal,Solid,Yes,-3000,Ancient,No,No,2,No
27,Co,Cobalt,Transition Metal,Solid,Yes,1735,1700s-1800s,No,No,2,No
28,Ni,Nickel,Transition Metal,Solid,Yes,1751,1700s-1800s,No,No,2,No
29,Cu,Copper,Transition Metal,Solid,Yes,-9000,Ancient,No,Yes,2,No
