Country Name,Capital,Country Name in Capital,Continent,Region,Population #,Largest Country,Landlocked,Primary Religion,Countries on the equator,Island Nation,Borders China,Borders Russia,Number of Bordering Countries,To Host Olympics,World Cup Winner,NATO Member,Image Url
Afghanistan,Kabul,No,Asia,Southern Asia,36,40,Yes,Islam,No,No,Yes,No,6,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Flag_of_Afghanistan_%282013%E2%80%932021%29.svg/1920px-Flag_of_Afghanistan_%282013%E2%80%932021%29.svg.png
Albania,Tirana,No,Europe,Southern Europe,141,140,No,Islam,No,No,No,No,4,No,No,Yes,https://en.wikipedia.org/wiki/File:Flag_of_Albania.svg
Algeria,Algiers,Yes,Africa,North Africa,33,10,No,Islam,No,No,No,No,7,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Algeria.svg/500px-Flag_of_Algeria.svg.png
Andorra,Andorra la Vella,Yes,Europe,Southern Europe,185,179,Yes,Chirstianity,No,No,No,No,2,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Andorra.svg/500px-Flag_of_Andorra.svg.png
Angola,Luanda,No,Africa,Central Africa,39,22,No,Chirstianity,No,No,No,No,4,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_Angola.svg/500px-Flag_of_Angola.svg.png
Antigua and Barbuda,Saint John's,No,North America,Caribbean,184,182,No,Chirstianity,No,Yes,No,No,0,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Flag_of_Antigua_and_Barbuda.svg/500px-Flag_of_Antigua_and_Barbuda.svg.png
Argentina,Buenos Aires,No,South America,,35,8,No,Chirstianity,No,No,No,No,5,No,Yes,No,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/500px-Flag_of_Argentina.svg.png
Armenia,Yerevan,No,Asia,Western Asia,137,138,Yes,Chirstianity,No,No,No,No,4,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Flag_of_Armenia.svg/500px-Flag_of_Armenia.svg.png
Australia,Canberra,No,Oceania,,55,6,No,Chirstianity,No,No,No,No,0,Yes,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Australia_%28converted%29.svg/500px-Flag_of_Australia_%28converted%29.svg.png
Austria,Vienna,No,Europe,Western Europe,98,113,Yes,Chirstianity,No,No,No,No,8,Yes,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_Austria.svg/500px-Flag_of_Austria.svg.png
