First Name,Last Name,Political Party,Start Year,End Year,Assassinated,Birth State,Serve in Military,presidency number,Age at Start of presidency,Served in Congress,Served in the House of Representatives,Served in the Senate,Former State Governors,Attended Ivy League School,Died in Office,Serve as Vice President,Years in Office,Nobel Prize Winner,Impeached,Won without Popular Vote,Cold War President,Appears on Currency,Won Re-election,Born Before 1800,Born 1800 - 1900,Appears on Mount Rushmore,Born 1900-2000,Met Queen Elizabeth II,Has Facial Hair,Height,College Degree,Weight,Unmarried in office,Serve as Secretary of State,No biological children,Foundng father,Portrait url
George,Washington,None,1789,1797,No,Virginia,Yes,1,57,No,No,No,No,No,No,No,7,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,73.5,No,175,No,No,Yes,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Gilbert_Stuart_Williamstown_Portrait_of_George_Washington_%283x4_cropped%29.jpg/1024px-Gilbert_Stuart_Williamstown_Portrait_of_George_Washington_%283x4_cropped%29.jpg
John,Adams,Federalist,1797,1801,No,Massachusetts,No,2,61,No,No,No,No,Yes,No,Yes,4,No,No,No,No,No,No,Yes,No,No,No,No,No,67,Yes,150,No,No,No,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/John_Adams_A18236_%28cropped%29.jpg/1024px-John_Adams_A18236_%28cropped%29.jpg
Thomas,Jefferson,Democratic-Republican,1801,1809,No,Virginia,Yes,3,57,No,No,No,Yes,No,No,Yes,8,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,74.5,Yes,174,Yes,Yes,No,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Official_Presidential_portrait_of_Thomas_Jefferson_%28by_Rembrandt_Peale%2C_1800%29_%283x4_cropped%29.jpg/1024px-Official_Presidential_portrait_of_Thomas_Jefferson_%28by_Rembrandt_Peale%2C_1800%29_%283x4_cropped%29.jpg
James,Madison,Democratic-Republican,1809,1817,No,Virginia,Yes,4,57,Yes,Yes,No,No,Yes,No,No,8,No,No,No,No,No,Yes,Yes,No,No,No,No,No,64,Yes,100,No,Yes,Yes,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/James_Madison_Portrait_1816_%283x4_cropped%29.jpg/1024px-James_Madison_Portrait_1816_%283x4_cropped%29.jpg
James,Monroe,Democratic-Republican,1817,1825,No,Virginia,Yes,5,58,Yes,No,Yes,Yes,No,No,No,8,No,No,No,No,No,Yes,Yes,No,No,No,No,No,72,No,189,No,Yes,No,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/James_Monroe_White_House_portrait_1819_%28cropped_3x4_close%29.jpg/1024px-James_Monroe_White_House_portrait_1819_%28cropped_3x4_close%29.jpg
John Quincy,Adams,Democratic-Republican,1825,1829,No,Massachusetts,No,6,57,Yes,Yes,Yes,No,Yes,No,No,4,No,No,Yes,No,No,No,Yes,No,No,No,No,No,67.5,Yes,175,No,Yes,No,No,https://upload.wikimedia.org/wikipedia/commons/d/df/John_Quincy_Adams_1858_%283x4_cropped%29.jpg
Andrew,Jackson,Democratic,1829,1837,No,South Carolina,Yes,7,61,Yes,Yes,Yes,No,No,No,No,8,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,73,No,140,Yes,No,Yes,No,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Andrew_jackson_head_%283x4_cropped%29.jpg/1024px-Andrew_jackson_head_%283x4_cropped%29.jpg
Martin,Van Buren,Democratic,1837,1841,No,New York,No,8,54,Yes,No,Yes,Yes,No,No,Yes,4,No,No,No,No,No,No,Yes,No,No,No,No,No,66,No,164,Yes,Yes,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Martin_Van_Buren_circa_1837_%283x4_cropped%29.jpg/1024px-Martin_Van_Buren_circa_1837_%283x4_cropped%29.jpg
William Henry,Harrison,Whig,1841,1841,No,Virginia,Yes,9,68,Yes,Yes,Yes,No,Yes,Yes,No,0,No,No,No,No,No,No,Yes,No,No,No,No,No,68,No,162,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/William_Henry_Harrison_Portrait_%283x4_cropped%29.jpg/1024px-William_Henry_Harrison_Portrait_%283x4_cropped%29.jpg
John,Tyler,Whig,1841,1845,No,Virginia,Yes,10,51,Yes,Yes,Yes,Yes,No,No,Yes,3,No,No,No,No,No,No,Yes,No,No,No,No,No,68,Yes,160,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/6/6e/John_Tyler_%28cropped_3x4%29_%28cropped%29%282%29.png
